Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50100, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50101, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50102, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50103, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50104, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50105, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50106, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50107, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50108, 18-11-20, Dell, 24, 1920,1080
Desktop, Dell, Intel Core i5 9th Gen, 8, 1TB, 3.5kg, DKIT-50109, 18-11-20, Dell, 24, 1920,1080
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240105, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240371, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240372, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240373, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240374, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240375, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240376, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240377, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240378, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240379, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240380, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240381, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240382, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240383, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240384, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240385, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240386, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240387, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240388, 18-11-20, 13, 8
Laptop, HP, Intel Core i5 9th Gen, 8, 1TB,  2.5kg, DKIT-240389, 18-11-20, 13, 8
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40001, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40002, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40003, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40004, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40005, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40006, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40007, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40008, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40009, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40010, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40011, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40012, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40013, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40014, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40015, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40016, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40017, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40018, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40019, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40020, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40021, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40022, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40023, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40024, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40025, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40026, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40027, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40028, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40029, 18-11-20, 32, 16GB
RaspberryPi, Raspberry, ARM Cortex-A72, 4, 42g, DKIT-40030, 18-11-20, 32, 16GB
